player_x_id,player_y_id,sub_position
2989,8198,Centre-Forward
2989,18644,Centre-Forward
2989,38746,Centre-Forward
2989,44352,Centre-Forward
2989,45146,Centre-Forward
2989,45403,Centre-Forward
2989,46415,Centre-Forward
2989,48067,Centre-Forward
2989,75471,Centre-Forward
2989,122797,Centre-Forward
2989,166683,Centre-Forward
2989,196522,Centre-Forward
2989,214316,Centre-Forward
2989,308278,Centre-Forward
3333,28973,Central Midfield
3333,53622,Central Midfield
3333,191422,Central Midfield
3333,261504,Central Midfield
3333,534033,Central Midfield
7161,74842,Attacking Midfield
7161,81785,Attacking Midfield
7161,102226,Attacking Midfield
8198,2989,Centre-Forward
8198,18644,Centre-Forward
8198,38746,Centre-Forward
8198,44352,Centre-Forward
8198,45403,Centre-Forward
8198,46415,Centre-Forward
8198,48067,Centre-Forward
8198,75471,Centre-Forward
8198,122797,Centre-Forward
8198,147487,Centre-Forward
8198,182877,Centre-Forward
8198,191891,Centre-Forward
8198,196522,Centre-Forward
8198,228645,Centre-Forward
8198,235052,Centre-Forward
8198,257462,Centre-Forward
8198,298976,Centre-Forward
8198,308278,Centre-Forward
8198,357498,Centre-Forward
8198,610442,Centre-Forward
9500,29712,Goalkeeper
9500,33873,Goalkeeper
9500,52570,Goalkeeper
10471,40014,Defensive Midfield
10471,40613,Defensive Midfield
10471,56818,Defensive Midfield
10471,57162,Defensive Midfield
10471,60542,Defensive Midfield
10471,63494,Defensive Midfield
10471,66934,Defensive Midfield
10471,73734,Defensive Midfield
10471,73741,Defensive Midfield
10471,74869,Defensive Midfield
10471,92738,Defensive Midfield
10471,93704,Defensive Midfield
10471,93905,Defensive Midfield
10471,94199,Defensive Midfield
10471,111051,Defensive Midfield
10471,127160,Defensive Midfield
10471,156617,Defensive Midfield
10471,167799,Defensive Midfield
10471,170934,Defensive Midfield
10471,195736,Defensive Midfield
10471,229853,Defensive Midfield
10471,259953,Defensive Midfield
11111,75127,Centre-Back
11111,80293,Centre-Back
11111,113133,Centre-Back
11111,157509,Centre-Back
11111,176553,Centre-Back
11111,399776,Centre-Back
12029,28356,Goalkeeper
12029,64399,Goalkeeper
12029,93730,Goalkeeper
12029,128969,Goalkeeper
12029,190263,Goalkeeper
12029,223972,Goalkeeper
12029,318507,Goalkeeper
12029,418651,Goalkeeper
12249,20506,Central Midfield
12249,32467,Central Midfield
12249,51471,Central Midfield
12249,91849,Central Midfield
12249,120095,Central Midfield
12249,143812,Central Midfield
12249,184894,Central Midfield
12249,242632,Central Midfield
12282,26485,Centre-Back
12282,42710,Centre-Back
12282,43250,Centre-Back
12282,59016,Centre-Back
12282,64598,Centre-Back
12282,103427,Centre-Back
12282,166601,Centre-Back
12282,175722,Centre-Back
12282,177907,Centre-Back
12282,263361,Centre-Back
12282,341429,Centre-Back
12282,371001,Centre-Back
12282,461883,Centre-Back
12282,503482,Centre-Back
12282,578539,Centre-Back
14086,54906,Right-Back
14086,55687,Right-Back
14086,321528,Right-Back
14086,354352,Right-Back
15452,29241,Centre-Back
15452,39728,Centre-Back
15452,47713,Centre-Back
15452,51676,Centre-Back
15452,52403,Centre-Back
15452,53533,Centre-Back
15452,54716,Centre-Back
15452,54781,Centre-Back
15452,55972,Centre-Back
15452,58489,Centre-Back
15452,59016,Centre-Back
15452,59641,Centre-Back
15452,60599,Centre-Back
15452,84085,Centre-Back
15452,88262,Centre-Back
15452,88680,Centre-Back
15452,90681,Centre-Back
15452,104752,Centre-Back
15452,110036,Centre-Back
15452,111347,Centre-Back
15452,121477,Centre-Back
15452,126281,Centre-Back
15452,130353,Centre-Back
15452,134277,Centre-Back
15452,168408,Centre-Back
15452,186590,Centre-Back
15452,187491,Centre-Back
15452,196231,Centre-Back
15452,229804,Centre-Back
15452,248732,Centre-Back
15452,249730,Centre-Back
15452,271716,Centre-Back
15452,281769,Centre-Back
15452,286384,Centre-Back
15452,286949,Centre-Back
15452,314295,Centre-Back
15452,358165,Centre-Back
15452,399776,Centre-Back
16136,29241,Centre-Back
16136,39728,Centre-Back
